net,length_um
wb_clk_i,1279.23
clknet_2_1__leaf_wb_clk_i,224.74
clknet_2_0__leaf_wb_clk_i,208.075
_251_,189.68
clknet_2_2__leaf_wb_clk_i,152.32
clknet_0_wb_clk_i,143.27
clknet_2_3__leaf_wb_clk_i,139.78
_121_,136.61
_254_,133.8
_256_,128.41
_252_,112.4
_253_,107.32
_124_,102.49
u_cpu.counter\[23\],97.115
_255_,94
_127_,79.02
_123_,77.57
_122_,77.36
_120_,64.58
_113_,64.12
_209_,63
_115_,51.715
u_cpu.PC_F\[10\],42.98
_130_,41.42
_114_,40.06
_227_,39.18
u_cpu.counter\[7\],39.14
_225_,36.895
_132_,36.64
u_cpu.PC_F\[11\],36.08
u_cpu.PC_F\[25\],33.94
_136_,33.82
u_cpu.PC_F\[14\],33.82
_170_,33.52
net78,32.04
_172_,31.5
_139_,30.88
u_cpu.counter\[18\],30.1
_232_,29.82
u_cpu.counter\[16\],29.76
_116_,29.12
net1,28.64
_161_,28.02
u_cpu.PC_F\[24\],27.28
u_cpu.PC_F\[2\],27.22
_202_,27.18
_125_,27.16
_186_,26.9
u_cpu.counter\[20\],24.94
u_cpu.PC_F\[3\],24.36
u_cpu.counter\[21\],23.84
_133_,23.74
u_cpu.counter\[13\],23.64
net92,23.36
_198_,22.98
u_cpu.PC_F\[27\],22.98
u_cpu.PC_F\[16\],22.8
_212_,22.6
_194_,22.46
_214_,22.12
u_cpu.PC_F\[19\],22.1
u_cpu.counter\[4\],22
u_cpu.PC_F\[17\],21.72
_158_,21.66
_175_,21.58
u_cpu.PC_F\[26\],21.52
u_cpu.PC_F\[29\],21.49
u_cpu.PC_F\[20\],21.32
u_cpu.PC_F\[6\],21.28
_237_,20.96
_177_,20.8
u_cpu.PC_F\[22\],20.46
u_cpu.counter\[24\],20.4
_128_,19.78
_134_,19.78
_151_,19.7
u_cpu.PC_F\[15\],19.6
u_cpu.PC_F\[23\],19.35
u_cpu.counter\[14\],19.32
_144_,18.82
u_cpu.PC_F\[28\],18.46
_131_,18.44
u_cpu.PC_F\[7\],18.36
u_cpu.counter\[15\],18.24
u_cpu.counter\[9\],18.1
_205_,18.02
net95,17.8
u_cpu.PC_F\[30\],17.74
u_cpu.counter\[5\],17.74
_166_,17.44
net13,16.96
_238_,16.18
u_cpu.PC_F\[9\],16.16
net60,16.08
u_cpu.PC_F\[13\],15.98
u_cpu.counter\[2\],15.735
_143_,15.68
u_cpu.PC_F\[4\],15.64
_201_,15.44
_141_,15.38
u_cpu.PC_F\[21\],14.96
u_cpu.counter\[8\],14.7
u_cpu.counter\[1\],14.6
_156_,14.42
u_cpu.counter\[10\],14.38
u_cpu.counter\[19\],14.36
_183_,14.3
_217_,14.18
u_cpu.PC_F\[8\],14.08
u_cpu.PC_F\[18\],13.92
_196_,13.78
net72,13.69
_164_,13.58
_248_,13.58
_154_,13.16
_181_,13.12
_112_,13.1
_149_,13.1
_235_,13.01
_229_,12.8
_192_,12.74
_142_,12.7
u_cpu.counter\[11\],12.62
_191_,12.58
_203_,12.44
_145_,12.38
net16,12.36
net22,12.36
net23,12.36
net5,12.36
net24,12.36
net28,12.36
net6,12.36
net40,12.36
net62,12.36
net63,12.36
net64,12.36
net68,12.36
net69,12.36
net70,12.36
net45,12.36
net46,12.36
net47,12.36
net3,12.36
_098_,12.34
_088_,12.3
u_cpu.counter\[17\],12
u_cpu.counter\[6\],11.68
_171_,11.24
_126_,11.12
u_cpu.PC_F\[12\],11.06
_168_,10.96
net90,10.92
net89,10.92
net106,10.9
net108,10.78
_189_,10.74
_162_,10.7
_193_,10.68
net25,10.66
net11,10.66
_223_,10.62
_100_,10.54
u_cpu.PC_F\[5\],10.52
net96,10.44
net91,10.44
net100,10.44
_169_,10.4
_245_,10.36
_173_,10.14
_152_,9.86
_240_,9.86
_008_,9.82
_135_,9.64
net15,9.64
net17,9.64
net18,9.64
net20,9.64
net26,9.64
net30,9.64
net31,9.64
net34,9.64
net35,9.64
net8,9.64
net9,9.64
net56,9.64
net58,9.64
net42,9.64
net61,9.64
net66,9.64
net67,9.64
net43,9.64
net74,9.64
net75,9.64
net48,9.64
net50,9.64
_197_,9.62
u_cpu.counter\[12\],9.62
_119_,9.56
_146_,9.54
_224_,9.44
_178_,9.36
_157_,9.28
_244_,9.2
_228_,9.16
net83,9.08
_086_,9.06
_150_,8.9
u_cpu.counter\[0\],8.82
_101_,8.68
net82,8.62
net101,8.62
_022_,8.56
u_cpu.counter\[22\],8.56
_118_,8.54
_220_,8.36
_062_,8.29
net87,8.28
net104,8.16
net99,8.16
net80,8.14
_250_,8.1
u_cpu.counter\[25\],8.1
_137_,8.06
_188_,7.98
_206_,7.98
u_cpu.counter\[3\],7.98
_233_,7.86
net109,7.82
net107,7.82
net102,7.82
_246_,7.74
_204_,7.64
_185_,7.58
_018_,7.56
_199_,7.52
_231_,7.5
_215_,7.48
net94,7.36
_092_,7.32
_211_,7.2
_176_,7.06
_207_,7.06
u_cpu.PC_F\[31\],7.06
_159_,6.96
_165_,6.84
net79,6.78
_021_,6.64
_242_,6.64
_155_,6.6
net7,6.55
_090_,6.52
net81,6.44
net103,6.44
net85,6.32
net84,6.3
_208_,6.28
net4,6.21
net38,6.21
net41,6.21
net65,6.21
net49,6.21
_061_,6.16
_105_,6.105
_009_,5.98
net71,5.97
_241_,5.96
_071_,5.91
_039_,5.9
_216_,5.9
wb_rst_i,5.87
net88,5.86
net98,5.86
_005_,5.84
_163_,5.84
_184_,5.72
_042_,5.56
_093_,5.56
net36,5.53
net10,5.53
net59,5.53
_025_,5.48
_010_,5.46
io_out[0],5.41
_234_,5.4
net14,5.29
net19,5.29
net21,5.29
net27,5.29
net39,5.29
_140_,5.22
_035_,5.1
net97,5.06
_024_,5.04
_097_,5.04
_109_,5.04
_103_,4.92
net33,4.85
net51,4.85
net53,4.85
net54,4.85
net73,4.85
net76,4.85
net44,4.85
_001_,4.765
_138_,4.76
_083_,4.68
net32,4.61
net37,4.61
net12,4.61
net52,4.61
net57,4.61
_087_,4.58
_099_,4.58
_239_,4.58
_014_,4.565
_063_,4.56
_000_,4.46
_247_,4.46
_210_,4.42
_085_,4.305
_111_,4.305
_065_,4.22
_089_,4.12
_117_,4.11
_002_,4.1
_160_,4.02
_095_,4
_180_,4
_104_,3.98
net29,3.93
net55,3.93
net77,3.93
_213_,3.88
_011_,3.76
_082_,3.76
_015_,3.66
_017_,3.66
_019_,3.66
_221_,3.56
net105,3.54
_200_,3.52
_167_,3.42
_091_,3.385
_028_,3.35
_110_,3.3
_040_,3.23
_174_,3.22
_182_,3.22
_243_,3.22
_003_,3.2
_107_,3.2
_034_,3.18
_074_,3.13
_226_,3.1
_106_,3.08
_148_,3.08
_187_,3.08
net86,3.08
_027_,3.03
_041_,3.03
_064_,3.03
_147_,2.96
_195_,2.96
_023_,2.925
_046_,2.89
_190_,2.86
_094_,2.84
_050_,2.77
_056_,2.77
_029_,2.69
_037_,2.69
_038_,2.69
_053_,2.69
_222_,2.64
_102_,2.62
_047_,2.57
_007_,2.52
_012_,2.52
_218_,2.52
_055_,2.43
_004_,2.38
_031_,2.38
_032_,2.38
_033_,2.38
_054_,2.38
_070_,2.38
_072_,2.38
_078_,2.38
_079_,2.38
_006_,2.28
_013_,2.28
_020_,2.28
_026_,2.23
_030_,2.23
_036_,2.23
_045_,2.23
_048_,2.23
_051_,2.23
_052_,2.23
_058_,2.23
_059_,2.23
_060_,2.23
_066_,2.23
_067_,2.23
_069_,2.23
_077_,2.23
_016_,2.18
_153_,2.18
_075_,2.16
_179_,2.06
_236_,2.06
_049_,2.04
_129_,1.94
_108_,1.84
_057_,1.82
_073_,1.82
_076_,1.75
net2,1.72
_084_,1.7
_096_,1.7
_249_,1.38
_043_,1.36
_044_,1.36
_068_,1.36
_080_,1.36
_081_,1.36
_219_,1.26
_230_,1.26
net93,0.46
