net,length_um
net6,1436.02
net10,1265.8
net9,1193.78
net2,1020.715
net19,1017.74
net3,1005.74
net7,954.3
net16,944.08
net11,802.66
wb_clk_i,655.83
net1,650.32
net5,526.785
net14,417.74
net4,379
net13,328.88
net22,310.78
net8,289.36
net15,240.22
net12,205.88
clknet_2_2__leaf_wb_clk_i,171.98
clknet_2_3__leaf_wb_clk_i,170.08
clknet_2_1__leaf_wb_clk_i,156.74
_214_,147.06
_127_,146.255
_213_,145.98
clknet_2_0__leaf_wb_clk_i,141.08
net18,137.42
_216_,123.055
_215_,119.3
_151_,110.155
_137_,99.44
_218_,96.78
_217_,94.16
clknet_0_wb_clk_i,92.07
_122_,74.54
_117_,73.66
_134_,72.3
_115_,47.345
_133_,45.18
_170_,40.78
_118_,37.66
_129_,35.8
u_cpu.ALUResult_E\[22\],33.17
_123_,32.68
u_cpu.counter\[0\],32.18
u_cpu.ALUResult_E\[26\],32.12
u_cpu.counter\[4\],30.915
u_cpu.counter\[13\],29.96
_189_,29.18
u_cpu.counter\[11\],28.76
u_cpu.ALUResult_E\[16\],27.935
u_cpu.ALUResult_E\[23\],27.72
_143_,27.66
_152_,27.66
_182_,26.38
u_cpu.ALUResult_E\[18\],25.84
_177_,24.28
u_cpu.counter\[17\],24.14
_136_,23.975
_210_,23.14
_204_,23.06
_163_,22.84
u_cpu.ALUResult_E\[30\],22.7
_112_,22.3
u_cpu.counter\[18\],22.29
_162_,21.18
_194_,21.18
u_cpu.counter\[10\],21.18
u_cpu.counter\[23\],21.16
_175_,20.92
u_cpu.counter\[16\],20.64
u_cpu.counter\[1\],20.3
_199_,20.26
u_cpu.counter\[5\],20.18
u_cpu.counter\[8\],20.08
u_cpu.counter\[14\],19.98
u_cpu.ALUResult_E\[27\],19.64
_193_,19.58
net90,19.58
u_cpu.counter\[12\],19.56
_196_,19.23
_166_,18.52
_135_,18.24
_159_,17.88
_200_,17.82
_139_,17.14
_205_,17.08
net34,16.96
u_cpu.counter\[6\],16.88
_114_,16.375
u_cpu.ALUResult_E\[19\],16.18
net74,16.08
u_cpu.counter\[2\],15.92
_208_,15.86
_120_,15.82
_197_,15.8
_181_,15.42
net98,15.36
_203_,15.34
_160_,15.14
_132_,14.76
net107,14.56
_174_,14.22
io_out[28],13.98
io_out[30],13.98
_141_,13.86
u_cpu.counter\[22\],13.72
u_cpu.counter\[20\],13.69
net93,13.66
_165_,13.62
u_cpu.counter\[9\],13.56
_211_,13.4
_014_,13.12
_176_,13.1
net95,13.08
u_cpu.ALUResult_E\[20\],13.02
io_out[32],13.01
_119_,12.99
net87,12.84
_099_,12.7
_195_,12.6
io_out[6],12.6
io_out[7],12.6
_130_,12.53
_202_,12.48
_186_,12.46
net37,12.36
net43,12.36
net44,12.36
net26,12.36
net45,12.36
net49,12.36
net27,12.36
net61,12.36
net76,12.36
net77,12.36
net24,12.36
net99,12.3
u_cpu.counter\[21\],12.215
io_out[35],12.18
_212_,12.16
_180_,12.1
_131_,12.08
u_cpu.ALUResult_E\[28\],11.86
_142_,11.78
_138_,11.74
io_out[24],11.68
io_out[29],11.68
io_out[5],11.68
_153_,11.62
_190_,11.54
