net,length_um
_002_,11.44
net100,11.36
u_cpu.counter\[25\],11.3
_158_,11.08
_155_,10.94
net91,10.9
_097_,10.86
_105_,10.86
_149_,10.86
u_cpu.ALUResult_E\[29\],10.86
_025_,10.82
net46,10.66
net32,10.66
net78,10.44
_049_,10.13
net97,10.12
_113_,10.1
_088_,10.08
_168_,10.06
_006_,9.94
_116_,9.94
_128_,9.92
_096_,9.86
net82,9.86
u_cpu.ALUResult_E\[17\],9.8
_169_,9.78
_209_,9.78
net36,9.64
net38,9.64
net39,9.64
net41,9.64
net47,9.64
net51,9.64
net52,9.64
net55,9.64
net56,9.64
net29,9.64
net30,9.64
net70,9.64
net72,9.64
net64,9.64
net75,9.64
_089_,9.6
_161_,9.6
u_cpu.ALUResult_E\[25\],9.5
_019_,9.48
_058_,9.48
_107_,9.48
_157_,9.46
net89,9.42
_013_,9.4
_192_,9.4
net92,9.4
_054_,9.36
_124_,9.3
u_cpu.ALUResult_E\[24\],9.3
_140_,9.16
_000_,9.14
_003_,9.14
u_cpu.counter\[7\],9.02
net106,8.98
io_out[2],8.96
io_out[3],8.96
io_out[8],8.96
_082_,8.94
_156_,8.94
_150_,8.76
_087_,8.705
net112,8.62
net81,8.62
_184_,8.52
u_cpu.counter\[3\],8.44
_171_,8.36
u_cpu.ALUResult_E\[31\],8.36
_027_,8.33
_008_,8.18
net110,8.16
net108,8.16
io_out[26],8.04
io_out[27],8.04
io_out[34],8.04
_125_,7.98
_016_,7.945
_075_,7.82
_011_,7.72
_103_,7.68
_095_,7.64
_109_,7.64
_178_,7.64
_121_,7.56
net17,7.56
_188_,7.48
_065_,7.44
u_cpu.ALUResult_E\[21\],7.32
_102_,7.3
u_cpu.counter\[15\],7.3
_076_,7.26
wb_rst_i,7.25
_167_,7.18
net94,7.12
net86,7.12
u_cpu.counter\[19\],7.1
_108_,7.06
_098_,7
_004_,6.98
net79,6.9
_031_,6.87
_086_,6.8
_147_,6.78
_185_,6.76
net83,6.76
net85,6.64
net104,6.64
net28,6.55
_012_,6.52
_032_,6.42
_036_,6.35
_179_,6.28
_201_,6.27
_010_,6.26
_198_,6.24
net25,6.21
net59,6.21
net63,6.21
io_out[25],6.21
net111,5.98
io_out[31],5.75
_015_,5.74
_164_,5.72
_071_,5.61
_078_,5.61
_093_,5.6
u_cpu.counter\[24\],5.56
net57,5.53
net31,5.53
net73,5.53
io_out[9],5.53
net109,5.52
_017_,5.5
_022_,5.5
_091_,5.46
_110_,5.44
_043_,5.39
net80,5.38
_069_,5.33
net35,5.29
net40,5.29
net42,5.29
net48,5.29
net60,5.29
io_out[33],5.19
io_out[4],5.19
_037_,5.14
_041_,5.1
net102,5.06
_104_,5.04
_191_,5.04
_067_,5
_026_,4.99
_145_,4.92
_092_,4.9
_083_,4.88
net103,4.88
net54,4.85
net65,4.85
net67,4.85
net68,4.85
io_out[36],4.85
net53,4.61
net58,4.61
net62,4.61
net33,4.61
net66,4.61
net71,4.61
_005_,4.58
_009_,4.58
_066_,4.54
_101_,4.54
net105,4.54
_035_,4.51
_173_,4.48
_038_,4.47
net84,4.46
_064_,4.42
_126_,4.42
_172_,4.42
io_out[37],4.39
net96,4.14
_029_,4.07
_068_,4.05
net101,4.02
_148_,4
_207_,4
net50,3.93
net69,3.93
_144_,3.88
_024_,3.76
_094_,3.76
_046_,3.66
net23,3.66
_074_,3.61
_081_,3.61
net88,3.54
net20,3.42
net21,3.42
_206_,3.3
_187_,3.2
_106_,3.1
_059_,2.89
_001_,2.84
_020_,2.84
_055_,2.84
_061_,2.84
_080_,2.84
_154_,2.84
_050_,2.77
_052_,2.69
_073_,2.69
_056_,2.67
_060_,2.67
_070_,2.67
_018_,2.64
_084_,2.62
_085_,2.62
_100_,2.62
_146_,2.62
_039_,2.43
_048_,2.43
_028_,2.38
_044_,2.38
_051_,2.38
_077_,2.28
_040_,2.23
_062_,2.23
_079_,2.23
_021_,2.18
_030_,2.16
_042_,2.16
_007_,1.84
_111_,1.84
_183_,1.84
_033_,1.82
_053_,1.82
_057_,1.82
_090_,1.82
_023_,1.7
_034_,1.36
_045_,1.36
_047_,1.36
_063_,1.36
_072_,1.36
