net,length_um
net9,588.34
net7,556.72
clk,521
net5,455.835
net8,341.72
net3,309.475
net1,252.16
net4,208.12
net2,202.78
clknet_1_1__leaf_clk,160.38
net6,138.94
clknet_1_0__leaf_clk,134
net12,113.35
net10,102.96
_054_,97.56
AXI_BRIDGE.clk,89.3
net11,77.74
_089_,74.29
net13,60.95
_059_,48.78
_047_,38.79
counter\[14\],37.68
AXI_BRIDGE.state\[0\],35.72
_038_,34.45
counter\[16\],31.26
counter\[1\],30.37
counter\[2\],30.2
counter\[4\],29
clknet_0_clk,28.99
counter\[13\],28.77
counter\[0\],25.36
counter\[9\],25
AXI_BRIDGE.state\[1\],24.72
_053_,24.52
counter\[5\],23.26
_067_,23.2
_062_,22.98
counter\[19\],22.98
AXI_BRIDGE.state\[4\],22.74
_036_,22.72
_042_,21.94
_079_,21.62
net69,20.6
counter\[8\],20.52
counter\[10\],20.46
counter\[22\],19.92
counter\[17\],19.88
counter\[18\],17.91
_092_,17.74
M_AXI_BREADY,17.64
_075_,16.44
counter\[20\],16.26
net82,16.08
_086_,16.06
_048_,16.05
_090_,15.6
_082_,15.58
counter\[15\],15.55
AXI_BRIDGE.state\[3\],15.46
_087_,14.92
net92,14.85
counter\[12\],14.6
_063_,14.2
_065_,13.92
_080_,13.92
_068_,13.76
AXI_BRIDGE.state\[2\],13.28
_035_,12.9
_000_,12.66
_083_,12.44
M_AXI_AWREADY,12.24
M_AXI_RVALID,12.24
_074_,12.24
_069_,12.04
_085_,11.96
M_AXI_ARREADY,11.78
M_AXI_BVALID,11.78
net30,11.68
net31,11.68
net37,11.68
net38,11.68
net39,11.68
net24,11.68
net65,11.68
net71,11.68
net73,11.68
net74,11.68
net77,11.68
net78,11.68
net54,11.68
net93,11.68
net83,11.68
net84,11.68
net89,11.68
net119,11.68
net120,11.68
net121,11.68
net14,11.68
net125,11.44
net131,11.36
_052_,11.1
counter\[3\],10.92
net142,10.9
_001_,10.86
AXI_BRIDGE.state\[5\],10.73
net75,10.66
_071_,10.66
net122,10.66
_045_,10.58
counter\[11\],10.38
_058_,10.32
_055_,10
net141,10
_031_,9.94
net135,9.94
_057_,9.82
_050_,9.8
net25,9.64
net27,9.64
net29,9.64
net40,9.64
net17,9.64
net20,9.64
net60,9.64
net62,9.64
net64,9.64
net67,9.64
net70,9.64
net50,9.64
net53,9.64
net80,9.64
net81,9.64
net91,9.64
net94,9.64
net95,9.64
net96,9.64
net105,9.64
net86,9.64
net87,9.64
_012_,9.64
net117,9.64
_081_,9.58
_017_,9.56
net134,9.54
_084_,9.52
_041_,9.505
_011_,9.38
net139,9.06
M_AXI_WREADY,8.84
_091_,8.52
net106,8.39
M_AXI_RREADY,8.38
_024_,8.24
_014_,8.22
_034_,8.18
M_AXI_WVALID,8.04
_004_,7.8
_039_,7.66
_073_,7.61
_046_,7.52
net140,7.24
_018_,7.22
_033_,7.18
counter\[6\],7.18
net126,6.9
net137,6.9
net41,6.89
net59,6.89
net108,6.89
net88,6.89
net123,6.89
net124,6.89
_037_,6.72
_070_,6.6
net102,6.55
net109,6.55
rst_n,6.55
_060_,6.52
net133,6.44
net136,6.44
_056_,6.3
net128,6.3
net129,6.3
counter\[7\],6.26
net16,6.21
net42,6.21
net66,6.21
net72,6.21
net85,6.21
net113,6.21
net114,6.21
net115,6.21
net118,6.21
net132,5.98
net15,5.97
net21,5.97
net43,5.87
_049_,5.8
_040_,5.68
_013_,5.6
net44,5.53
net46,5.53
net48,5.53
net51,5.53
net100,5.53
net107,5.53
net110,5.53
_064_,5.46
net28,5.29
net32,5.29
net33,5.29
net63,5.29
net57,5.29
net101,5.29
net90,5.29
_051_,5.26
_078_,5.26
counter\[24\],5.26
_072_,5.22
net127,5.06
_025_,5.04
_016_,4.88
net35,4.85
net45,4.85
net18,4.85
net23,4.85
net56,4.85
net111,4.85
_077_,4.8
_066_,4.78
_022_,4.765
counter\[21\],4.675
net26,4.61
net19,4.61
net22,4.61
net61,4.61
net76,4.61
net79,4.61
net55,4.61
net98,4.61
net104,4.61
net112,4.61
_006_,4.58
_009_,4.58
_028_,4.58
_003_,4.54
_019_,4.54
_061_,4.46
_030_,4.12
_043_,4.08
_029_,4
net34,3.93
net36,3.93
net47,3.93
net58,3.93
net49,3.93
net68,3.93
net52,3.93
net97,3.93
net99,3.93
net103,3.93
net116,3.93
_076_,3.89
net138,3.68
counter\[23\],3.54
_008_,3.2
_015_,3.2
_027_,3.2
_021_,3.08
_010_,2.765
_002_,2.62
_032_,2.62
_007_,2.52
_026_,2.52
_005_,2.28
_020_,1.84
_023_,1.84
_044_,1.72
net130,1.38
_088_,0.46
